spine_seq,tier,tier_name,kind,src,dst,conf,via,collapsed,evidence,source,ref_checks,note_th,note_en
64,T2,native,calls_direct,.mytext registered handler (0x81eeb4),sub_b01c4,probable,CH-06 hop 4 (E0102),0,"0x81eed8 `mov x2, x0` (x0 = FromReflectedMethod result); 0x81eedc `mov x0, x20` (x20 = the JNIEnv* saved at 0x81eecc); 0x81eee0 `mov x1, x19` (x19 = incoming x2, saved at 0x81eec8); 0x81eee4 `bl #0xb01c4` - env, the original second argument and the reflected java.lang.reflect.Method are forwarded into .text",fragments/F4b_libengine_mytext.asm:22,PASS edge CH-06 hop 4,,
65,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/b8;->callActivityOnResume(Landroid/app/Activity;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 1 (E0020),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 1,,
66,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->b(Ljava/lang/String;JZ)V,Lcom/snake/helper/Native;,proven,CH-08 hop 2 (E0024),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 2,,
67,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->c(JILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,Lcom/snake/helper/Native;,proven,CH-08 hop 3 (E0025),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 3,,
68,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->c(JILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,Lcom/snake/helper/Native;,proven,CH-08 hop 4 (E0026),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 4,,
69,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->c(JILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,Lcom/snake/helper/Native;,proven,CH-08 hop 5 (E0027),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 5,,
70,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->c(JILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,Lcom/snake/helper/Native;,proven,CH-08 hop 6 (E0028),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 6,,
71,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->f(Landroid/app/Activity;Ljava/lang/String;IJZ)V,Lcom/snake/helper/Native;,proven,CH-08 hop 7 (E0029),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 7,,
72,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/vx;->f(Landroid/app/Activity;Ljava/lang/String;IJZ)V,Lcom/snake/helper/Native;,proven,CH-08 hop 8 (E0030),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 8,,
73,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/z10;->a(Ljava/lang/String;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 9 (E0033),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 9,,
74,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/z10;->b(Ljava/lang/String;Ljava/lang/String;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 10 (E0034),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 10,,
75,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/z10;->c(Landroid/content/Context;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 11 (E0035),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 11,,
76,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/p60;->uncaughtException(Ljava/lang/Thread;Ljava/lang/Throwable;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 12 (E0023),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 12,,
77,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/ne0;->run()V,Lcom/snake/helper/Native;,proven,CH-08 hop 13 (E0022),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 13,,
78,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/jv0;->O2(Ljava/lang/String;Ljava/lang/String;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 14 (E0021),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 14,,
79,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/yu0;->f(Landroid/content/Context;Landroidx/appcompat/view/menu/wb;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 15 (E0031),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 15,,
80,T1,dex,invokes_native_class,Landroidx/appcompat/view/menu/yu0;->f(Landroid/content/Context;Landroidx/appcompat/view/menu/wb;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 16 (E0032),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 16,,
81,T1,dex,invokes_native_class,Lcom/Entry;->C(Landroidx/appcompat/view/menu/id0;Landroidx/appcompat/view/menu/kd0$d;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 17 (E0036),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 17,,
82,T1,dex,invokes_native_class,Lcom/snake/helper/Native;->a(Landroid/app/Activity;Ljava/lang/String;IJZ)V,Lcom/snake/helper/Native;,proven,CH-08 hop 18 (E0037),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 18,,
83,T1,dex,invokes_native_class,Lcom/snake/helper/Native;->logIn(Ljava/lang/String;J)V,Lcom/snake/helper/Native;,proven,CH-08 hop 19 (E0038),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 19,,
84,T1,dex,invokes_native_class,Lio/flutter/view/TextureRegistry$SurfaceTextureEntry;->setOnTrimMemoryListener(Lio/flutter/view/TextureRegistry$b;)V,Lcom/snake/helper/Native;,proven,CH-08 hop 20 (E0039),0,"F2 lists this invoke offset under 'Lcom/snake/helper/Native;: N distinct caller method(s)'; the class names are obfuscated into androidx.appcompat.view.menu.*, so the offset is the reliable half of the evidence",fragments/F2_dex_natives.txt,PASS edge CH-08 hop 20,,
85,T3,jni/flutter,invokes_loader,Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V,"java.lang.System.loadLibrary(""flutter"")",proven,CH-09 hop 1 (E0004),0,"const-string ""flutter"" at file 0x2bafd6 in Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V",fragments/F2_dex_natives.txt + fragments.json:dex.loader_call_sites,PASS edge CH-09 hop 1,,
86,T3,jni/flutter,loads_library,"System.loadLibrary(""flutter"")",lib/arm64-v8a/libflutter.so,proven,CH-09 hop 2 (E0005),0,"APK member lib/arm64-v8a/libflutter.so == repo copy flutter_libs/libflutter.so (sha256 0baa710d6b7f7de2..., 10,714,752 bytes, match=True)",fragments/F1_apk_inventory.txt,PASS edge CH-09 hop 2,,
87,T3,jni/flutter,calls_entry_point,linker (dlopen of libflutter.so),JNI_OnLoad,proven,CH-09 hop 3 (E0085),0,"F6: exports 46 defined dynamic symbols, 0 Java_*, JNI_OnLoad present - so the engine binds FlutterJNI's 41 natives with RegisterNatives at load time, the same mechanism libengine.so uses for the 13 custom natives",fragments/F6_libflutter_version.txt,PASS edge CH-09 hop 3,,
88,T3,jni/flutter,dart_instantiates_closure,object pool slot pp+0x3910,MethodCall handler _pfc (_dX) @ 0x504300,proven,CH-10 hop 1 (E0946),0,"output/blutter/asm/Ieg.dart:379 `[closure] Future<dynamic> _pfc(dynamic, MethodCall) {`; IDA name `Ieg__dX::_pfc_504300`; pool slot 0x3910",output/blutter/asm/Ieg.dart,PASS edge CH-10 hop 1,,
89,T3,jni/flutter,dart_instantiates_closure,object pool slot pp+0x2cd8,MethodCall handler _cec (_hX) @ 0x50e170,proven,CH-10 hop 2 (E0947),0,"output/blutter/asm/Ieg.dart:468 `[closure] Future<bool> _cec(dynamic, MethodCall) {`; IDA name `Ieg__hX::_cec_50e170`; pool slot 0x2cd8",output/blutter/asm/Ieg.dart,PASS edge CH-10 hop 2,,
90,T3,jni/flutter,dart_instantiates_closure,object pool slot pp+0x2ce8,MethodCall handler _eec (_hX) @ 0x50dad8,proven,CH-10 hop 3 (E0948),0,"output/blutter/asm/Ieg.dart:471 `[closure] Future<dynamic> _eec(dynamic, MethodCall) {`; IDA name `Ieg__hX::_eec_50dad8`; pool slot 0x2ce8",output/blutter/asm/Ieg.dart,PASS edge CH-10 hop 3,,
91,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::EndWarmUpFrame,PlatformConfigurationNativeApi::EndWarmUpFrame,proven,CH-10 hop 4 (E0956),0,libapp.so+0x1bbb9 <-> libflutter.so+0x1cdd4c; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 4,,
92,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::SetNeedsReportTimings,PlatformConfigurationNativeApi::SetNeedsReportTimings,proven,CH-10 hop 5 (E0964),0,libapp.so+0x1c083 <-> libflutter.so+0x1baec8; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 5,,
93,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::ScheduleFrame,PlatformConfigurationNativeApi::ScheduleFrame,proven,CH-10 hop 6 (E0961),0,libapp.so+0x1d0d7 <-> libflutter.so+0x1cde34; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 6,,
94,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::SendChannelUpdate,PlatformConfigurationNativeApi::SendChannelUpdate,proven,CH-10 hop 7 (E0962),0,libapp.so+0x23e4d <-> libflutter.so+0x1cbeff; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 7,,
95,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::RequestDartPerformanceMode,PlatformConfigurationNativeApi::RequestDartPerformanceMode,proven,CH-10 hop 8 (E0959),0,libapp.so+0x2cc51 <-> libflutter.so+0x1d0278; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 8,,
96,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::RespondToPlatformMessage,PlatformConfigurationNativeApi::RespondToPlatformMessage,proven,CH-10 hop 9 (E0960),0,libapp.so+0x3291a <-> libflutter.so+0x1cf6ea; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 9,,
97,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::UpdateSemantics,PlatformConfigurationNativeApi::UpdateSemantics,proven,CH-10 hop 10 (E0965),0,libapp.so+0x32be6 <-> libflutter.so+0x1bc97c; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 10,,
98,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::DefaultRouteName,PlatformConfigurationNativeApi::DefaultRouteName,proven,CH-10 hop 11 (E0955),0,libapp.so+0x35285 <-> libflutter.so+0x1ce1f9; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 11,,
99,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::GetRootIsolateToken,PlatformConfigurationNativeApi::GetRootIsolateToken,proven,CH-10 hop 12 (E0957),0,libapp.so+0x3bc6d <-> libflutter.so+0x1c5150; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 12,,
100,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::SendPlatformMessage,PlatformConfigurationNativeApi::SendPlatformMessage,proven,CH-10 hop 13 (E0963),0,libapp.so+0x404fc <-> libflutter.so+0x1cf79b; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 13,,
101,T3,jni/flutter,binds_engine_symbol,PlatformConfigurationNativeApi::Render,PlatformConfigurationNativeApi::Render,proven,CH-10 hop 14 (E0958),0,libapp.so+0x489da <-> libflutter.so+0x1c06f1; 11 of the 11 names the snapshot uses exist in the shipped engine,fragments/F6_libflutter_version.txt,PASS edge CH-10 hop 14,,
102,T3,jni/flutter,spawns_dart_isolate,"FlutterJNI.nativeRunBundleAndSnapshotFromLibrary (declared native, unresolved by exports)",Dart isolate entry: main() in libapp.so,unresolved,,0,F2 lists nativeRunBundleAndSnapshotFromLibrary among the 41 FlutterJNI natives with 0 resolved by libflutter.so exports; the committed dump contains no Dart `main` symbol and no asm listing that instantiates the C2 family (no instruction loads pp+0x3103b0). This is the one hole between the engine and the Dart spine.,fragments/F2_dex_natives.txt,"PASS fragments/F2_dex_natives.txt /nativeRunBundleAndSnapshotFromLibrary/ -> nativeRunBundleAndSnapshotFromLibrary | PASS pp+0x13988 line 16610: AnonymousClosure: (0x3103b0), of [Kkg] _Bpa",ช่องว่างเดียวระหว่าง engine กับแกน Dart: dex ประกาศ nativeRunBundleAndSnapshotFromLibrary แต่ dump ที่ commit ไว้ไม่มี symbol `main` ของ Dart และไม่มี listing ไหนโหลด pp+0x3103b0 (สล็อตของรูทีนคำขอ C2) — ดูสูตรปิดช่องว่าง G1,"the single hole between engine and Dart spine: no `main`, no listing loads the C2 routine's pool slot pp+0x13988 — see recipe G1"
103,T4,dart,type_hierarchy,_au  [EYf.dart],Xu<X0 bound Vu>  [Meg.dart],proven,,0,abstract class Xu<X0 bound Vu> extends _au — the common task base of every family that touches the C2 store,output/blutter/asm/Meg.dart,PASS class Xu @Meg.dart:60 abstract class Xu<X0 bound Vu> extends _au { | PASS class _au @EYf.dart:35 abstract class _au extends Object | PASS class Vu @Meg.dart:234 abstract class Vu extends jI { | PASS class Yu @BYf.dart:29 abstract class Yu<X0 bound Vu> extends Xu<X0 bound Vu>,ฐาน type ร่วม: `Xu<X0 bound Vu> extends _au` — ทุกตระกูลที่แตะสโตร์ C2 สืบจากนี่,the shared task base: `Xu<X0 bound Vu> extends _au`
104,T4,dart,family_member,Xu<dynamic>,_ioa  [kkg]  (field late final PU<LI> fxc @0x14),proven,,0,class _ioa extends Xu<dynamic> {,output/blutter/asm/kkg.dart,PASS class _ioa @kkg.dart:8 class _ioa extends Xu<dynamic> {,สมาชิกตระกูล task #1: `_ioa` ในไลบรารี kkg (field late final PU<LI> fxc @0x14),task-family member: `_ioa` in library kkg (field late final PU<LI> fxc @0x14)
105,T4,dart,family_member,Xu<dynamic>,_Bpa  [Kkg]  (field late double tpe @0x18),proven,,0,class _Bpa extends Xu<dynamic> {,output/blutter/asm/Kkg.dart,PASS class _Bpa @Kkg.dart:8 class _Bpa extends Xu<dynamic> {,สมาชิกตระกูล task #2: `_Bpa` ในไลบรารี Kkg (field late double tpe @0x18),task-family member: `_Bpa` in library Kkg (field late double tpe @0x18)
106,T4,dart,family_member,Xu<dynamic>,"_aqa  [Xkg]  (transformed mixin with Yu<X0 bound Vu>, subclass _bqa)",proven,,0,abstract class _aqa extends Xu<dynamic>,output/blutter/asm/Xkg.dart,PASS class _aqa @Xkg.dart:9 abstract class _aqa extends Xu<dynamic>,"สมาชิกตระกูล task #3: `_aqa` ในไลบรารี Xkg (transformed mixin with Yu<X0 bound Vu>, subclass _bqa)","task-family member: `_aqa` in library Xkg (transformed mixin with Yu<X0 bound Vu>, subclass _bqa)"
107,T4,dart,pool_family,[kkg] _ioa,"18 pool slots in 3 cluster(s), pp+0xd968..pp+0x118a0 overall",proven,,0,"18 pool slots naming _ioa, in 3 cluster(s): pp+0xd968..pp+0xd9d0 (11); pp+0xe438..pp+0xe438 (1); pp+0x11868..pp+0x118a0 (6)",output/blutter/pp.txt,"PASS pp+0xd968 line 12149: AnonymousClosure: (0x37fe90), of [kkg] _ioa | PASS pp+0x118a0 line 15186: AnonymousClosure: (0x4b04a0), of [kkg] _ioa | PASS pp+0xd968..0xd9d0 holds 14 slots (need >= 11) | PASS pp+0xe438..0xe438 holds 1 slots (need >= 1) | PASS pp+0x11868..0x118a0 holds 8 slots (need >= 6)","ตระกูล closure ของ `_ioa` ใน object pool — คลัสเตอร์แรก (pp+0xd968..pp+0xd9d0) มีสล็อต Field ของสโตร์ `[xkg] Yoa` แทรกอยู่ด้วย (pp+0xd9b0 = tKb, pp+0xd9e0 = hne) แปลว่างาน async ฝั่งนี้กับสโตร์ C2 ถูกจัดก้อนไว้ด้วยกันตอน compile",the closure family of [kkg] _ioa as laid out in the object pool
108,T4,dart,pool_family,[Kkg] _Bpa,"21 pool slots in 2 cluster(s), pp+0x137f8..pp+0x175e8 overall",proven,,0,"21 pool slots naming _Bpa, in 2 cluster(s): pp+0x137f8..pp+0x13af0 (20); pp+0x175e8..pp+0x175e8 (1)",output/blutter/pp.txt,"PASS pp+0x137f8 line 16508: AnonymousClosure: (0x310fb4), of [Kkg] _Bpa | PASS pp+0x175e8 line 19751: AnonymousClosure: (0x310910), in [Kkg] _Bpa::<anonymous closure> (0x31 | PASS pp+0x137f8..0x13af0 holds 93 slots (need >= 20) | PASS pp+0x175e8..0x175e8 holds 1 slots (need >= 1)",ตระกูล closure ของ `_Bpa` ใน object pool — รวม sibling 0x3103b0 (pp+0x13988) และ รูทีนคำขอ C2 0x2f8928 (pp+0x139a8),the closure family of [Kkg] _Bpa as laid out in the object pool
109,T4,dart,pool_family,[Xkg] _aqa/_bqa,"25 pool slots in 1 cluster(s), pp+0x17ea0..pp+0x22a48 overall",proven,,0,"25 pool slots naming _aqa/_bqa, in 1 cluster(s): pp+0x17ea0..pp+0x17ea0 (1)",output/blutter/pp.txt,"PASS pp+0x17ea0 line 20190: AnonymousClosure: (0x234768), of [Xkg] _aqa | PASS pp+0x22a48 line 30991: AnonymousClosure: (0x378df8), in [Xkg] _bqa::<anonymous closure> (0x38 | PASS pp+0x17ea0..0x17ea0 holds 1 slots (need >= 1)",ตระกูล closure ของ `_aqa`/`_bqa` (Xkg) ใน object pool — สมาชิกตระกูลที่สามที่เรียก helper ต่อเนื่องตัวเดียวกัน,the closure family of [Xkg] _aqa/_bqa as laid out in the object pool
110,T4,dart,named_upstream_entry,[kkg] _ioa,ugf(dynamic) -> Future<bool>  @0x53ec84 (size 0x318),proven,,0,the only *named* method in the committed dump belonging to the Xu task family that reads the C2 store: `Future<bool> ugf(dynamic) async`,output/blutter/asm/kkg.dart,PASS asm header 0x53ec84 @kkg.dart:233 size 0x318 ([closure] Future<bool> ugf(dynamic) asyn),เมธอดเดียวใน dump ที่มี 'ชื่อจริง' และอ่านสโตร์ C2: `_ioa.ugf(dynamic) -> Future<bool>` ที่ 0x53ec84 (ขนาด 0x318) — นี่คือจุดเข้าฝั่ง upstream ที่พิสูจน์ได้,the only *named* method of the Xu family that reads the C2 store; this is the provable upstream entry point
111,T4,dart,reads_static_store,_ioa.ugf @0x53ec84,"[xkg] Yoa.tKb  (field offset 0xe7c -> field-table 0x1cf8, type Poa)",proven,,0,InitLateStaticField(0xe7c) // [xkg] Yoa::tKb then ldr from the field table; 8 accessors of this slot exist in asm/,output/blutter/asm/kkg.dart,PASS Yoa.tKb has 8 accessors in asm/ (expected 8) | PASS store Yoa has 13 static fields (expected 13),`ugf` เปิดสล็อต static `Yoa.tKb` (offset 0xe7c = field-table 0x1cf8) ด้วย InitLateStaticFieldStub แล้วอ่านค่า — มี accessor ของสล็อตนี้ 8 จุดใน dump,`ugf` initialises and reads the static slot Yoa.tKb; 8 accessors in the dump
112,T4,dart,traverses_stored_object,_ioa.ugf @0x53ec84,field chain: r2 = r0->field_1b -> r0 = r2->field_b -> r0 = r2->field_f,proven,,0,17 LoadField steps inside ugf's own body (0x53ec84..0x53ef9c) walk the object that the store slot points at,output/blutter/asm/kkg.dart,PASS asm header 0x53ec84 @kkg.dart:233 size 0x318 ([closure] Future<bool> ugf(dynamic) asyn),ภายในตัว `ugf` มีการไล่ field 17 ขั้น (r2 = r0->field_1b -> r0 = r2->field_b -> r0 = r2->field_f) เพื่อเดินอ็อบเจกต์ที่สโตร์ชี้ไป — แปลว่าค่าที่ C2 ฝากไว้ถูกอ่านจริง ไม่ใช่แค่ init,"17 LoadField steps inside ugf walk the stored object: the C2 result is actually consumed, not just initialised"
113,T4,dart,reads_static_store,"[kkg] _ioa::<anonymous closure>(dynamic, int) async @0x53e7ac (size 0x1c0)",[xkg] Yoa.tKb (field-table 0x1cf8),proven,,0,"second accessor of the same store slot; it allocates a sibling closure from pp+0xd9c0 (0x38a5d8, inside _ioa's own family) before handing off",output/blutter/asm/kkg.dart,"PASS asm header 0x53e7ac @kkg.dart:69 size 0x1c0 ([closure] Future<Null> <anonymous closur) | PASS pp+0xd9c0 line 12160: AnonymousClosure: (0x38a5d8), in [kkg] _ioa::<anonymous closure> (0x37",accessor ตัวที่สองของสล็อตเดียวกัน — closure นี้สร้าง closure พี่น้องจาก pp+0xd9c0 (0x38a5d8 ในตระกูล _ioa เอง) ก่อนส่งต่องาน,second accessor of the same slot; allocates a sibling closure from pp+0xd9c0 before handing off
114,T4,dart,calls_direct,Kkg.dart+0x533278  (?),continuation helper 0x1a5b64,proven,,0,bl              #0x1a5b64 at Kkg.dart:138,output/blutter/asm/Kkg.dart,PASS Kkg.dart:137 0x533278: r0 = call 0x1a5b64,จุดเรียก helper ต่อเนื่อง 0x1a5b64 จาก Kkg.dart (offset 0x533278),call into the shared continuation helper 0x1a5b64 from Kkg.dart+0x533278
115,T4,dart,calls_direct,Xkg.dart+0x535830  (?),continuation helper 0x1a5b64,proven,,0,bl              #0x1a5b64 at Xkg.dart:98,output/blutter/asm/Xkg.dart,PASS Xkg.dart:97 0x535830: r0 = call 0x1a5b64,จุดเรียก helper ต่อเนื่อง 0x1a5b64 จาก Xkg.dart (offset 0x535830),call into the shared continuation helper 0x1a5b64 from Xkg.dart+0x535830
116,T4,dart,calls_direct,kkg.dart+0x53e950  (?),continuation helper 0x1a5b64,proven,,0,bl              #0x1a5b64 at kkg.dart:219,output/blutter/asm/kkg.dart,PASS kkg.dart:218 0x53e950: r0 = call 0x1a5b64,จุดเรียก helper ต่อเนื่อง 0x1a5b64 จาก kkg.dart (offset 0x53e950),call into the shared continuation helper 0x1a5b64 from kkg.dart+0x53e950
117,T4,dart,fan_in_convergence,3 call sites in 3 different Xu-family libraries (Kkg / Xkg / kkg),continuation helper 0x1a5b64 (no listing),proven,,0,"insn /#0x1a5b64/ matches exactly 3 sites across the whole dump — one per family library, i.e. this helper is where the three task families converge",output/blutter/asm/,"PASS insn /#0x1a5b64\b/ matched 3 (expected 3): Kkg.dart+0x533278, Xkg.dart+0x535830, kkg.dart+0x53e950 | PASS no listing body for 0x1a5b64 (header=None)",ทั้งสามตระกูล task (Kkg/Xkg/kkg) มาบรรจบที่ helper เดียวกัน 0x1a5b64 — พบจุดเรียก ทั้งหมด 3 จุดใน dump ทั้งชุด,all three task families converge on one helper: 3 call sites in the whole dump
118,T4,dart,helper_body_missing,continuation helper 0x1a5b64,(body not in the committed dump),unresolved,,0,"no `** addr: 0x1a5b64` header anywhere under asm/ — the helper is called but never disassembled, so what it dispatches to is not provable from this bundle",output/blutter/asm/,PASS no listing body for 0x1a5b64 (header=None),ไม่มี listing ของ 0x1a5b64 ใน dump (ถูกเรียกแต่ไม่เคยถูก disassemble) — ดูสูตรปิดช่องว่าง G3,0x1a5b64 is called but never disassembled — see recipe G3
119,T4,dart,owns_endpoint_pool_run,[Kkg] _Bpa::<anonymous closure> @0x2f8928 (size -0x1),pool run pp+13988..pp+13ac0 (38 contiguous slots),candidate,,0,"the routine is declared with size -0x1 (no body), so its identity rests on pool adjacency: its own allocation run holds the endpoint string, the multipart template, the verb and the response-side objects",output/blutter/pp.txt,"PASS asm header 0x2f8928 @Kkg.dart:310 size -0x1 ([closure] void <anonymous closure>(dynam) | PASS pp+0x13988..0x13ac0 holds 38 slots (need >= 38) | PASS chain CH-12 has 27 hops (expected 27) | PASS pp+0x139d8 line 16623: String: ""https://rest.snakeseller.com/api/request/""","รูทีนคำขอ C2 @0x2f8928 ถูกประกาศไว้แต่ไม่มี body (size -0x1) — การระบุตัวตนจึงพึ่ง 'ความติดกันของ pool': ช่วง pp+0x13988..pp+0x13ac0 (38 สล็อต) เก็บทั้ง endpoint, แม่แบบ multipart, คำสั่ง post และอ็อบเจกต์ฝั่ง response",the C2 request routine has no body (size -0x1); its identity rests on pool adjacency over 38 contiguous slots
